id,title,description,price,num_rooms,num_bedrooms,num_bathrooms,sq_m,address,city,year_built,property_type,features
1,Bright House in New York,"This 4-bedroom, 2-bathroom house in New York offers approximately 160 square meters of living space. It features garage, hardwood floors, pool access, and is perfect for those seeking comfort and convenience. Located in a desirable area of New York, it combines style and practicality for modern living.",1228998.26,8,4,2,160,8917 Pine Rd,New York,1967,house,"garage, hardwood floors, pool access, near subway, solar panels, rooftop terrace"
2,Classic House in Madison,"This 1-bedroom, 1-bathroom house in Madison offers approximately 282 square meters of living space. It features solar panels, air conditioning, EV charger, and is perfect for those seeking comfort and convenience. Located in a desirable area of Madison, it combines style and practicality for modern living.",1233590.02,4,1,1,282,2853 Cedar Ln,Madison,1969,house,"solar panels, air conditioning, EV charger, deck, energy-efficient appliances, hardwood floors"
3,Classic Apartment in Detroit,"This 4-bedroom, 3-bathroom apartment in Detroit offers approximately 203 square meters of living space. It features furnished, gym, rooftop terrace, and is perfect for those seeking comfort and convenience. Located in a desirable area of Detroit, it combines style and practicality for modern living.",803644.69,10,4,3,203,3775 Cedar Ln,Detroit,1962,apartment,"furnished, gym, rooftop terrace"
4,Modern Apartment in Denver,"This 2-bedroom, 3-bathroom apartment in Denver offers approximately 124 square meters of living space. It features pool access, garage, furnished, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",1217427.43,8,2,3,124,7885 Oak Ave,Denver,1984,apartment,"pool access, garage, furnished, energy-efficient appliances, near park, hardwood floors"
5,Classic House in Philadelphia,"This 4-bedroom, 3-bathroom house in Philadelphia offers approximately 120 square meters of living space. It features hardwood floors, EV charger, furnished, and is perfect for those seeking comfort and convenience. Located in a desirable area of Philadelphia, it combines style and practicality for modern living.",1274933.84,9,4,3,120,8016 Oak Ave,Philadelphia,2018,house,"hardwood floors, EV charger, furnished, solar panels, air conditioning, garage"
6,Cozy Townhouse in Chicago,"This 3-bedroom, 3-bathroom townhouse in Chicago offers approximately 228 square meters of living space. It features near park, balcony, pool access, and is perfect for those seeking comfort and convenience. Located in a desirable area of Chicago, it combines style and practicality for modern living.",466445.09,7,3,3,228,2095 Main St,Chicago,1981,townhouse,"near park, balcony, pool access, garden"
7,Luxury Apartment in San Diego,"This 4-bedroom, 2-bathroom apartment in San Diego offers approximately 296 square meters of living space. It features pet-friendly, pool access, gym, and is perfect for those seeking comfort and convenience. Located in a desirable area of San Diego, it combines style and practicality for modern living.",1033548.27,7,4,2,296,8686 Main St,San Diego,2007,apartment,"pet-friendly, pool access, gym, smart home system, deck, balcony"
8,Cozy House in Atlanta,"This 1-bedroom, 1-bathroom house in Atlanta offers approximately 184 square meters of living space. It features balcony, hardwood floors, community pool, and is perfect for those seeking comfort and convenience. Located in a desirable area of Atlanta, it combines style and practicality for modern living.",289598.2,3,1,1,184,5475 Maple Blvd,Atlanta,1960,house,"balcony, hardwood floors, community pool, solar panels, rooftop terrace, garden"
9,Contemporary Townhouse in Madison,"This 1-bedroom, 2-bathroom townhouse in Madison offers approximately 332 square meters of living space. It features community pool, garage, balcony, and is perfect for those seeking comfort and convenience. Located in a desirable area of Madison, it combines style and practicality for modern living.",599004.36,4,1,2,332,6489 Pine Rd,Madison,2017,townhouse,"community pool, garage, balcony, EV charger, smart home system, air conditioning"
10,Contemporary Apartment in Seattle,"This 2-bedroom, 1-bathroom apartment in Seattle offers approximately 305 square meters of living space. It features garage, hardwood floors, air conditioning, and is perfect for those seeking comfort and convenience. Located in a desirable area of Seattle, it combines style and practicality for modern living.",811531.39,6,2,1,305,6232 Cedar Ln,Seattle,1992,apartment,"garage, hardwood floors, air conditioning, deck, garden, home office"
11,Cozy Townhouse in Dallas,"This 2-bedroom, 1-bathroom townhouse in Dallas offers approximately 273 square meters of living space. It features garden, community pool, near subway, and is perfect for those seeking comfort and convenience. Located in a desirable area of Dallas, it combines style and practicality for modern living.",1287351.37,6,2,1,273,7042 Oak Ave,Dallas,1980,townhouse,"garden, community pool, near subway, home office"
12,Classic Apartment in Denver,"This 1-bedroom, 1-bathroom apartment in Denver offers approximately 245 square meters of living space. It features fireplace, air conditioning, hardwood floors, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",267525.95,3,1,1,245,8727 Oak Ave,Denver,1979,apartment,"fireplace, air conditioning, hardwood floors, smart home system, community pool, gym"
13,Modern Townhouse in Charlotte,"This 2-bedroom, 3-bathroom townhouse in Charlotte offers approximately 61 square meters of living space. It features hardwood floors, near subway, garden, and is perfect for those seeking comfort and convenience. Located in a desirable area of Charlotte, it combines style and practicality for modern living.",372932.94,7,2,3,61,9711 Cedar Ln,Charlotte,1986,townhouse,"hardwood floors, near subway, garden, near park, deck"
14,Cozy Townhouse in Salt Lake City,"This 5-bedroom, 3-bathroom townhouse in Salt Lake City offers approximately 209 square meters of living space. It features smart home system, hardwood floors, pet-friendly, and is perfect for those seeking comfort and convenience. Located in a desirable area of Salt Lake City, it combines style and practicality for modern living.",572971.74,9,5,3,209,4920 Cedar Ln,Salt Lake City,1951,townhouse,"smart home system, hardwood floors, pet-friendly, air conditioning, deck, garden"
15,Bright House in Philadelphia,"This 1-bedroom, 1-bathroom house in Philadelphia offers approximately 115 square meters of living space. It features fireplace, solar panels, deck, and is perfect for those seeking comfort and convenience. Located in a desirable area of Philadelphia, it combines style and practicality for modern living.",207647.04,5,1,1,115,5965 Main St,Philadelphia,2008,house,"fireplace, solar panels, deck"
16,Spacious Townhouse in Madison,"This 5-bedroom, 1-bathroom townhouse in Madison offers approximately 222 square meters of living space. It features EV charger, community pool, gym, and is perfect for those seeking comfort and convenience. Located in a desirable area of Madison, it combines style and practicality for modern living.",479247.45,8,5,1,222,8512 Maple Blvd,Madison,1964,townhouse,"EV charger, community pool, gym"
17,Spacious House in Charlotte,"This 5-bedroom, 1-bathroom house in Charlotte offers approximately 121 square meters of living space. It features pet-friendly, solar panels, EV charger, and is perfect for those seeking comfort and convenience. Located in a desirable area of Charlotte, it combines style and practicality for modern living.",1344850.04,9,5,1,121,7326 Oak Ave,Charlotte,1986,house,"pet-friendly, solar panels, EV charger, furnished, pool access"
18,Elegant Townhouse in Salt Lake City,"This 3-bedroom, 2-bathroom townhouse in Salt Lake City offers approximately 200 square meters of living space. It features smart home system, hardwood floors, near park, and is perfect for those seeking comfort and convenience. Located in a desirable area of Salt Lake City, it combines style and practicality for modern living.",649543.34,8,3,2,200,3434 Pine Rd,Salt Lake City,2014,townhouse,"smart home system, hardwood floors, near park, near subway, rooftop terrace, home office"
19,Spacious House in Los Angeles,"This 2-bedroom, 3-bathroom house in Los Angeles offers approximately 191 square meters of living space. It features near park, EV charger, hardwood floors, and is perfect for those seeking comfort and convenience. Located in a desirable area of Los Angeles, it combines style and practicality for modern living.",811630.47,8,2,3,191,6176 Maple Blvd,Los Angeles,1980,house,"near park, EV charger, hardwood floors, fireplace"
20,Contemporary House in Minneapolis,"This 5-bedroom, 1-bathroom house in Minneapolis offers approximately 339 square meters of living space. It features pool access, fireplace, furnished, and is perfect for those seeking comfort and convenience. Located in a desirable area of Minneapolis, it combines style and practicality for modern living.",1064979.79,7,5,1,339,3771 Pine Rd,Minneapolis,1955,house,"pool access, fireplace, furnished, solar panels"
21,Modern House in Detroit,"This 1-bedroom, 1-bathroom house in Detroit offers approximately 289 square meters of living space. It features energy-efficient appliances, gym, smart home system, and is perfect for those seeking comfort and convenience. Located in a desirable area of Detroit, it combines style and practicality for modern living.",262045.7,3,1,1,289,5097 Maple Blvd,Detroit,2006,house,"energy-efficient appliances, gym, smart home system"
22,Stylish House in Boston,"This 2-bedroom, 2-bathroom house in Boston offers approximately 86 square meters of living space. It features pet-friendly, garage, smart home system, and is perfect for those seeking comfort and convenience. Located in a desirable area of Boston, it combines style and practicality for modern living.",1038918.83,7,2,2,86,8220 Maple Blvd,Boston,1975,house,"pet-friendly, garage, smart home system, balcony, pool access, gym"
23,Bright Apartment in Seattle,"This 1-bedroom, 1-bathroom apartment in Seattle offers approximately 272 square meters of living space. It features fireplace, hardwood floors, EV charger, and is perfect for those seeking comfort and convenience. Located in a desirable area of Seattle, it combines style and practicality for modern living.",279394.0,5,1,1,272,9742 Maple Blvd,Seattle,2002,apartment,"fireplace, hardwood floors, EV charger, pool access, rooftop terrace, community pool"
24,Bright House in Seattle,"This 1-bedroom, 3-bathroom house in Seattle offers approximately 42 square meters of living space. It features community pool, hardwood floors, gym, and is perfect for those seeking comfort and convenience. Located in a desirable area of Seattle, it combines style and practicality for modern living.",1318576.62,7,1,3,42,4619 Pine Rd,Seattle,1967,house,"community pool, hardwood floors, gym, solar panels, rooftop terrace"
25,Modern Townhouse in Portland,"This 1-bedroom, 1-bathroom townhouse in Portland offers approximately 186 square meters of living space. It features smart home system, fireplace, home office, and is perfect for those seeking comfort and convenience. Located in a desirable area of Portland, it combines style and practicality for modern living.",301369.87,3,1,1,186,9372 Pine Rd,Portland,1984,townhouse,"smart home system, fireplace, home office, furnished, pet-friendly, near subway"
26,Spacious House in Austin,"This 4-bedroom, 3-bathroom house in Austin offers approximately 100 square meters of living space. It features smart home system, garage, solar panels, and is perfect for those seeking comfort and convenience. Located in a desirable area of Austin, it combines style and practicality for modern living.",999305.05,10,4,3,100,8751 Main St,Austin,1978,house,"smart home system, garage, solar panels"
27,Elegant House in Dallas,"This 2-bedroom, 3-bathroom house in Dallas offers approximately 291 square meters of living space. It features fireplace, garden, near park, and is perfect for those seeking comfort and convenience. Located in a desirable area of Dallas, it combines style and practicality for modern living.",258030.57,8,2,3,291,947 Oak Ave,Dallas,1956,house,"fireplace, garden, near park, home office, pool access, hardwood floors"
28,Luxury Apartment in New York,"This 3-bedroom, 1-bathroom apartment in New York offers approximately 205 square meters of living space. It features near park, EV charger, energy-efficient appliances, and is perfect for those seeking comfort and convenience. Located in a desirable area of New York, it combines style and practicality for modern living.",1301062.3,5,3,1,205,6481 Main St,New York,2022,apartment,"near park, EV charger, energy-efficient appliances"
29,Elegant Townhouse in Denver,"This 2-bedroom, 1-bathroom townhouse in Denver offers approximately 75 square meters of living space. It features garage, smart home system, rooftop terrace, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",160680.93,5,2,1,75,5794 Main St,Denver,2000,townhouse,"garage, smart home system, rooftop terrace, energy-efficient appliances, furnished"
30,Renovated Townhouse in Dallas,"This 3-bedroom, 1-bathroom townhouse in Dallas offers approximately 261 square meters of living space. It features pool access, smart home system, garden, and is perfect for those seeking comfort and convenience. Located in a desirable area of Dallas, it combines style and practicality for modern living.",1064295.3,5,3,1,261,4932 Pine Rd,Dallas,1958,townhouse,"pool access, smart home system, garden, near subway, rooftop terrace, EV charger"
31,Contemporary Apartment in Atlanta,"This 4-bedroom, 2-bathroom apartment in Atlanta offers approximately 88 square meters of living space. It features pool access, near subway, community pool, and is perfect for those seeking comfort and convenience. Located in a desirable area of Atlanta, it combines style and practicality for modern living.",174221.95,8,4,2,88,7436 Main St,Atlanta,2016,apartment,"pool access, near subway, community pool, hardwood floors"
32,Luxury Apartment in San Francisco,"This 1-bedroom, 3-bathroom apartment in San Francisco offers approximately 207 square meters of living space. It features deck, solar panels, garage, and is perfect for those seeking comfort and convenience. Located in a desirable area of San Francisco, it combines style and practicality for modern living.",1212819.28,7,1,3,207,3126 Main St,San Francisco,1986,apartment,"deck, solar panels, garage, community pool, smart home system, gym"
33,Cozy Townhouse in Dallas,"This 1-bedroom, 1-bathroom townhouse in Dallas offers approximately 329 square meters of living space. It features solar panels, balcony, fireplace, and is perfect for those seeking comfort and convenience. Located in a desirable area of Dallas, it combines style and practicality for modern living.",801573.49,4,1,1,329,1719 Main St,Dallas,1972,townhouse,"solar panels, balcony, fireplace, near park, home office"
34,Luxury House in Atlanta,"This 2-bedroom, 1-bathroom house in Atlanta offers approximately 113 square meters of living space. It features garage, garden, solar panels, and is perfect for those seeking comfort and convenience. Located in a desirable area of Atlanta, it combines style and practicality for modern living.",730462.39,4,2,1,113,429 Maple Blvd,Atlanta,1956,house,"garage, garden, solar panels, deck, gym, pet-friendly"
35,Classic House in Denver,"This 5-bedroom, 2-bathroom house in Denver offers approximately 344 square meters of living space. It features furnished, smart home system, near park, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",1372921.81,9,5,2,344,149 Pine Rd,Denver,2005,house,"furnished, smart home system, near park, deck, pet-friendly, home office"
36,Elegant Apartment in Madison,"This 2-bedroom, 3-bathroom apartment in Madison offers approximately 60 square meters of living space. It features EV charger, balcony, gym, and is perfect for those seeking comfort and convenience. Located in a desirable area of Madison, it combines style and practicality for modern living.",755860.22,6,2,3,60,9268 Maple Blvd,Madison,2008,apartment,"EV charger, balcony, gym"
37,Cozy Apartment in New York,"This 1-bedroom, 2-bathroom apartment in New York offers approximately 218 square meters of living space. It features furnished, near subway, deck, and is perfect for those seeking comfort and convenience. Located in a desirable area of New York, it combines style and practicality for modern living.",361283.47,4,1,2,218,4481 Main St,New York,1958,apartment,"furnished, near subway, deck, pet-friendly, EV charger"
38,Luxury Apartment in San Diego,"This 2-bedroom, 1-bathroom apartment in San Diego offers approximately 317 square meters of living space. It features near subway, gym, air conditioning, and is perfect for those seeking comfort and convenience. Located in a desirable area of San Diego, it combines style and practicality for modern living.",158769.2,5,2,1,317,503 Cedar Ln,San Diego,2012,apartment,"near subway, gym, air conditioning, garage"
39,Luxury House in Charlotte,"This 5-bedroom, 2-bathroom house in Charlotte offers approximately 115 square meters of living space. It features fireplace, hardwood floors, near park, and is perfect for those seeking comfort and convenience. Located in a desirable area of Charlotte, it combines style and practicality for modern living.",848689.39,9,5,2,115,5118 Oak Ave,Charlotte,2019,house,"fireplace, hardwood floors, near park"
40,Spacious Townhouse in Boston,"This 5-bedroom, 3-bathroom townhouse in Boston offers approximately 245 square meters of living space. It features air conditioning, gym, garage, and is perfect for those seeking comfort and convenience. Located in a desirable area of Boston, it combines style and practicality for modern living.",994758.24,11,5,3,245,5930 Maple Blvd,Boston,1968,townhouse,"air conditioning, gym, garage"
41,Cozy House in Los Angeles,"This 1-bedroom, 3-bathroom house in Los Angeles offers approximately 136 square meters of living space. It features furnished, balcony, EV charger, and is perfect for those seeking comfort and convenience. Located in a desirable area of Los Angeles, it combines style and practicality for modern living.",177669.49,5,1,3,136,6259 Oak Ave,Los Angeles,1961,house,"furnished, balcony, EV charger, community pool, home office, gym"
42,Spacious Townhouse in Raleigh,"This 1-bedroom, 3-bathroom townhouse in Raleigh offers approximately 98 square meters of living space. It features EV charger, near subway, rooftop terrace, and is perfect for those seeking comfort and convenience. Located in a desirable area of Raleigh, it combines style and practicality for modern living.",892549.45,6,1,3,98,1638 Pine Rd,Raleigh,1965,townhouse,"EV charger, near subway, rooftop terrace, fireplace"
43,Stylish Apartment in Raleigh,"This 2-bedroom, 3-bathroom apartment in Raleigh offers approximately 304 square meters of living space. It features solar panels, balcony, hardwood floors, and is perfect for those seeking comfort and convenience. Located in a desirable area of Raleigh, it combines style and practicality for modern living.",163243.31,8,2,3,304,3737 Pine Rd,Raleigh,1995,apartment,"solar panels, balcony, hardwood floors, energy-efficient appliances, rooftop terrace, pet-friendly"
44,Luxury House in Chicago,"This 2-bedroom, 1-bathroom house in Chicago offers approximately 176 square meters of living space. It features community pool, energy-efficient appliances, garden, and is perfect for those seeking comfort and convenience. Located in a desirable area of Chicago, it combines style and practicality for modern living.",842228.82,5,2,1,176,1529 Oak Ave,Chicago,2020,house,"community pool, energy-efficient appliances, garden, smart home system, air conditioning, balcony"
45,Bright House in Philadelphia,"This 5-bedroom, 3-bathroom house in Philadelphia offers approximately 235 square meters of living space. It features rooftop terrace, furnished, balcony, and is perfect for those seeking comfort and convenience. Located in a desirable area of Philadelphia, it combines style and practicality for modern living.",1197708.9,9,5,3,235,1790 Oak Ave,Philadelphia,1998,house,"rooftop terrace, furnished, balcony, pet-friendly, energy-efficient appliances"
46,Modern Townhouse in Raleigh,"This 4-bedroom, 2-bathroom townhouse in Raleigh offers approximately 216 square meters of living space. It features pool access, pet-friendly, air conditioning, and is perfect for those seeking comfort and convenience. Located in a desirable area of Raleigh, it combines style and practicality for modern living.",1474908.02,8,4,2,216,807 Oak Ave,Raleigh,1963,townhouse,"pool access, pet-friendly, air conditioning, near park, community pool, energy-efficient appliances"
47,Contemporary Townhouse in San Francisco,"This 4-bedroom, 1-bathroom townhouse in San Francisco offers approximately 160 square meters of living space. It features air conditioning, solar panels, pet-friendly, and is perfect for those seeking comfort and convenience. Located in a desirable area of San Francisco, it combines style and practicality for modern living.",163541.2,7,4,1,160,624 Oak Ave,San Francisco,1975,townhouse,"air conditioning, solar panels, pet-friendly, community pool, furnished"
48,Cozy House in Seattle,"This 5-bedroom, 2-bathroom house in Seattle offers approximately 324 square meters of living space. It features near subway, rooftop terrace, garage, and is perfect for those seeking comfort and convenience. Located in a desirable area of Seattle, it combines style and practicality for modern living.",218837.55,9,5,2,324,5819 Oak Ave,Seattle,1980,house,"near subway, rooftop terrace, garage, pet-friendly, pool access, home office"
49,Spacious Townhouse in Chicago,"This 5-bedroom, 3-bathroom townhouse in Chicago offers approximately 314 square meters of living space. It features hardwood floors, energy-efficient appliances, furnished, and is perfect for those seeking comfort and convenience. Located in a desirable area of Chicago, it combines style and practicality for modern living.",717317.11,10,5,3,314,8262 Main St,Chicago,1960,townhouse,"hardwood floors, energy-efficient appliances, furnished, home office, pet-friendly"
50,Renovated Townhouse in Salt Lake City,"This 3-bedroom, 2-bathroom townhouse in Salt Lake City offers approximately 320 square meters of living space. It features gym, hardwood floors, air conditioning, and is perfect for those seeking comfort and convenience. Located in a desirable area of Salt Lake City, it combines style and practicality for modern living.",739818.58,8,3,2,320,7795 Pine Rd,Salt Lake City,1965,townhouse,"gym, hardwood floors, air conditioning, garden, near subway, smart home system"
51,Elegant Townhouse in Denver,"This 5-bedroom, 2-bathroom townhouse in Denver offers approximately 109 square meters of living space. It features home office, fireplace, solar panels, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",983765.03,10,5,2,109,4317 Oak Ave,Denver,1983,townhouse,"home office, fireplace, solar panels, air conditioning, smart home system"
52,Luxury House in Chicago,"This 3-bedroom, 3-bathroom house in Chicago offers approximately 122 square meters of living space. It features rooftop terrace, solar panels, near subway, and is perfect for those seeking comfort and convenience. Located in a desirable area of Chicago, it combines style and practicality for modern living.",675748.17,7,3,3,122,4401 Oak Ave,Chicago,1958,house,"rooftop terrace, solar panels, near subway, gym, garage"
53,Luxury Apartment in Madison,"This 5-bedroom, 2-bathroom apartment in Madison offers approximately 269 square meters of living space. It features near park, pet-friendly, near subway, and is perfect for those seeking comfort and convenience. Located in a desirable area of Madison, it combines style and practicality for modern living.",1033347.45,8,5,2,269,7388 Oak Ave,Madison,1972,apartment,"near park, pet-friendly, near subway, community pool, hardwood floors, fireplace"
54,Modern Apartment in Atlanta,"This 2-bedroom, 2-bathroom apartment in Atlanta offers approximately 317 square meters of living space. It features air conditioning, fireplace, solar panels, and is perfect for those seeking comfort and convenience. Located in a desirable area of Atlanta, it combines style and practicality for modern living.",623880.27,7,2,2,317,8184 Maple Blvd,Atlanta,1950,apartment,"air conditioning, fireplace, solar panels, pet-friendly, smart home system"
55,Cozy Apartment in Boston,"This 1-bedroom, 1-bathroom apartment in Boston offers approximately 324 square meters of living space. It features home office, fireplace, rooftop terrace, and is perfect for those seeking comfort and convenience. Located in a desirable area of Boston, it combines style and practicality for modern living.",1241490.32,5,1,1,324,1806 Pine Rd,Boston,1994,apartment,"home office, fireplace, rooftop terrace, garage, garden"
56,Bright Townhouse in Denver,"This 4-bedroom, 1-bathroom townhouse in Denver offers approximately 164 square meters of living space. It features furnished, solar panels, garden, and is perfect for those seeking comfort and convenience. Located in a desirable area of Denver, it combines style and practicality for modern living.",1397306.56,6,4,1,164,1118 Pine Rd,Denver,2021,townhouse,"furnished, solar panels, garden, pool access"
57,Cozy Townhouse in San Diego,"This 2-bedroom, 1-bathroom townhouse in San Diego offers approximately 346 square meters of living space. It features pet-friendly, air conditioning, community pool, and is perfect for those seeking comfort and convenience. Located in a desirable area of San Diego, it combines style and practicality for modern living.",1277184.89,4,2,1,346,9768 Pine Rd,San Diego,1961,townhouse,"pet-friendly, air conditioning, community pool, furnished, deck, near park"
58,Classic Townhouse in Madison,"This 5-bedroom, 1-bathroom townhouse in Madison offers approximately 265 square meters of living space. It features furnished, gym, deck, and is perfect for those seeking comfort and convenience. Located in a desirable area of Madison, it combines style and practicality for modern living.",422383.1,9,5,1,265,5262 Main St,Madison,2003,townhouse,"furnished, gym, deck"
